"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201415","total","Local authority","Inner London","Lewisham","0.18","4.04","2.51","Lewisham"
"201415","total","Local authority","Inner London","Southwark","0.05","3.53","2.09","Southwark"
"201415","total","Local authority","Inner London","Tower Hamlets","0.02","2.3","1.49","Tower Hamlets"
"201415","total","Local authority","Inner London","Wandsworth","0.11","2.99","2.02","Wandsworth"
"201415","total","Local authority","Inner London","Westminster","0.05","3.87","2.6","Westminster"
"201415","total","Local authority","Outer London","Barking and Dagenham","0.05","2.02","1.17","Barking and Dagenham"
"201415","total","Local authority","Outer London","Barnet","0.08","2.75","1.75","Barnet"
"201415","total","Local authority","Outer London","Bexley","0.08","3.83","2.2","Bexley"
"201415","total","Local authority","Outer London","Brent","0.1","3.52","2.28","Brent"
"201415","total","Local authority","Outer London","Bromley","0.11","2.12","1.33","Bromley"
"201415","total","Local authority","Outer London","Croydon","0.04","3.01","1.96","Croydon"
"201415","total","Local authority","Outer London","Ealing","0.11","2.93","1.78","Ealing"
"201415","total","Local authority","Outer London","Enfield","0.12","4.76","2.85","Enfield"
"201415","total","Local authority","Inner London","Haringey","0.05","3.5","2.17","Haringey"
"201415","total","Local authority","Outer London","Harrow","0.06","2.17","1.47","Harrow"
"201415","total","Local authority","Outer London","Havering","0.1","2.88","1.79","Havering"
"201415","total","Local authority","Outer London","Hillingdon","0.07","3.07","1.79","Hillingdon"
"201415","total","Local authority","Outer London","Hounslow","0.07","3.39","1.98","Hounslow"
"201415","total","Local authority","Outer London","Kingston upon Thames","0.05","1.61","1.01","Kingston upon Thames"
"201415","total","Local authority","Outer London","Merton","0.06","3.37","1.93","Merton"
"201415","total","Local authority","Inner London","Newham","0.05","2.97","1.68","Newham"
"201415","total","Local authority","Outer London","Redbridge","0.03","2.22","1.5","Redbridge"
"201415","total","Local authority","Outer London","Richmond upon Thames","0.08","3","1.63","Richmond upon Thames"
"201415","total","Local authority","Outer London","Sutton","0.08","3.66","1.91","Sutton"
"201415","total","Local authority","Outer London","Waltham Forest","0.01","4.14","2.56","Waltham Forest"
"201415","total","Local authority","West Midlands","Birmingham","0.14","4.06","2.52","Birmingham"
"201415","total","Local authority","West Midlands","Coventry","0.04","3.29","1.85","Coventry"
"201415","total","Local authority","West Midlands","Dudley","0.22","4.52","2.55","Dudley"
"201415","total","Local authority","West Midlands","Sandwell","0.1","5.04","2.52","Sandwell"
"201415","total","Local authority","West Midlands","Solihull","0.21","5.74","3.01","Solihull"
