"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201617","Local authority","Newham","Special","2","143","x","x","313","218.88","52","36.36"
"201617","Local authority","Redbridge","Total","74","56123","40","0.07","1577","2.81","1000","1.78"
"201617","Local authority","Redbridge","Primary","51","30137","0","0","168","0.56","90","0.3"
"201617","Local authority","Redbridge","Secondary","19","25441","40","0.16","1239","4.87","875","3.44"
"201617","Local authority","Redbridge","Special","4","545","0","0","170","31.19","35","6.42"
"201617","Local authority","Richmond upon Thames","Total","57","26599","13","0.05","707","2.66","418","1.57"
"201617","Local authority","Richmond upon Thames","Primary","45","17594","0","0","46","0.26","26","0.15"
"201617","Local authority","Richmond upon Thames","Secondary","10","8795","13","0.15","634","7.21","381","4.33"
"201617","Local authority","Richmond upon Thames","Special","2","210","0","0","27","12.86","11","5.24"
"201617","Local authority","Sutton","Total","59","37176","20","0.05","1226","3.3","656","1.76"
"201617","Local authority","Sutton","Primary","40","18403","0","0","237","1.29","95","0.52"
"201617","Local authority","Sutton","Secondary","14","18359","17","0.09","800","4.36","506","2.76"
"201617","Local authority","Sutton","Special","5","414","3","0.72","189","45.65","55","13.29"
"201617","Local authority","Waltham Forest","Total","72","42659","19","0.04","1764","4.14","1103","2.59"
"201617","Local authority","Waltham Forest","Primary","51","26063","x","x","234","0.9","129","0.49"
"201617","Local authority","Waltham Forest","Secondary","17","15854","18","0.11","1445","9.11","938","5.92"
"201617","Local authority","Waltham Forest","Special","4","742","0","0","85","11.46","36","4.85"
"201617","Local authority","Birmingham","Total","416","198136","256","0.13","8503","4.29","5166","2.61"
"201617","Local authority","Birmingham","Primary","300","116765","96","0.08","2272","1.95","1160","0.99"
"201617","Local authority","Birmingham","Secondary","88","77199","152","0.2","5797","7.51","3779","4.9"
"201617","Local authority","Birmingham","Special","28","4172","8","0.19","434","10.4","227","5.44"
"201617","Local authority","Coventry","Total","116","54970","62","0.11","2978","5.42","1513","2.75"
"201617","Local authority","Coventry","Primary","85","32900","22","0.07","618","1.88","256","0.78"
"201617","Local authority","Coventry","Secondary","23","21203","40","0.19","2329","10.98","1234","5.82"
"201617","Local authority","Coventry","Special","8","867","0","0","31","3.58","23","2.65"
"201617","Local authority","Dudley","Total","106","47167","117","0.25","2306","4.89","1229","2.61"
"201617","Local authority","Dudley","Primary","79","28685","25","0.09","436","1.52","219","0.76"
"201617","Local authority","Dudley","Secondary","20","17696","89","0.5","1765","9.97","967","5.46"
"201617","Local authority","Dudley","Special","7","786","3","0.38","105","13.36","43","5.47"
"201617","Local authority","Sandwell","Total","117","58437","75","0.13","2565","4.39","1459","2.5"
"201617","Local authority","Sandwell","Primary","94","36552","8","0.02","465","1.27","247","0.68"
"201617","Local authority","Sandwell","Secondary","19","21350","67","0.31","2053","9.62","1180","5.53"
"201617","Local authority","Sandwell","Special","4","535","0","0","47","8.79","32","5.98"
"201617","Local authority","Solihull","Total","81","38816","67","0.17","1736","4.47","960","2.47"
"201617","Local authority","Solihull","Primary","60","21051","3","0.01","271","1.29","136","0.65"
"201617","Local authority","Solihull","Secondary","16","17170","64","0.37","1418","8.26","792","4.61"
"201617","Local authority","Solihull","Special","5","595","0","0","47","7.9","32","5.38"
"201617","Local authority","Walsall","Total","112","49578","70","0.14","2102","4.24","1089","2.2"
"201617","Local authority","Walsall","Primary","86","28812","21","0.07","481","1.67","236","0.82"
"201617","Local authority","Walsall","Secondary","19","20143","48","0.24","1529","7.59","811","4.03"
"201617","Local authority","Walsall","Special","7","623","x","x","92","14.77","42","6.74"
"201617","Local authority","Wolverhampton","Total","104","43146","80","0.19","1752","4.06","922","2.14"
